compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_shear_modulus_hrv,ael_bulk_modulus_hrv
Ni2Si2,aflow:907fa0222fc41a15,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ni1Si1_ICSD_187622,59,oP4,52.9304,151.739
Ni2Si2Tb1,aflow:bc70eb9b75beea4f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni2Si2Tb1_ICSD_105346,139,tI10,69.1279,137.249
Ni2Si2Th1,aflow:f61e233c2e2cd03f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni2Si2Th1_ICSD_18159,139,tI10,79.9522,145.986
Ni2Si2Th2,aflow:9fcbe75bdcca78f7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni1Si1Th1_ICSD_646618,109,tI12,32.3272,124.452
Ni2Si2Zr1,aflow:da69298a33370a12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni2Si2Zr1_ICSD_20317,139,tI10,77.9955,168.921
Ni2Sn1Ti1,aflow:0b9ebe3281b078e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni2Sn1Ti1_ICSD_105369,225,cF16,41.1038,152.122
Ni2Sn1Yb1,aflow:7b7c072ca150e580,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni2Sn1Yb1_ICSD_105381,225,cF16,26.0191,96.9778
Ni2Sn1Zr1,aflow:12977312adb008a2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni2Sn1Zr1_ICSD_105383,225,cF16,47.1927,154.383
Ni2Ta1,aflow:e0adf8f7e59398df,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni2Ta1_ICSD_105388,139,tI6,70.7488,207.91
Ni2Ta2Te10,aflow:72c858b8c990275d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ni1Ta1Te5_ICSD_73314,63,oS28,5.88535,12.6802
Ni2Tb2,aflow:ab43d348acf0aded,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ni1Tb1_ICSD_646875,63,oS8,25.6093,85.2181
Ni2Tl2,aflow:100d7ab42acb5577,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1Tl1_ICSD_105427,194,hP4,22.9966,78.1856
Ni2Zr2,aflow:69add90ae709677d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ni1Zr1_ICSD_105478,63,oS8,18.0379,150.18
Ni2Zr4,aflow:55d0a6e60c496c7c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni1Zr2_ICSD_102805,140,tI12,13.7082,117.317
Ni3P3Pd3,aflow:c96ed7a989cfdc88,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1P1Pd1_ICSD_646124,189,hP9,34.4878,181.302
Ni3P3Rh3,aflow:b999085f2279f8f3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1P1Rh1_ICSD_646131,189,hP9,61.6864,232.256
Ni3P3W3,aflow:033207703b32945f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1P1W1_ICSD_646181,189,hP9,78.8848,253.264
Ni3Pd3Si3,aflow:1fc123fe7de6a72f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1Pd1Si1_ICSD_646219,189,hP9,56.8325,188.392
Ni3Si1,aflow:b31ddd42732eacdd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ni3Si1_ICSD_105343,221,cP4,74.8261,216.661
